2
-0,7048601447907559
-1,3145872830285323
-0,8346093633474829
0,0818140810107546
1,0351456592428943
1,8043732380651454
2,2902312928283335
2,472918739083658
2,381142540206472
2,0699349889913154
1,605200587526734
1,0533643487222173
0,47483265172917366
-0,07974643321595853
-0,5712132099799803
-0,972226813944474
-1,2666618871442161
-1,4484223835430223
-1,5199324220663284
-1,4904925860458946
-1,3746343414584206
-1,190562267192957
-0,9587410473644642
-0,7006596042102381
-0,4377866593274602
-0,19071902072499056
0,021485118543206616
0,18180152534022642
0,2755811712108117
0,2907564792683254
0,21793223191327266
0,050380431889259
-0,21604259242861978
-0,5830399613437085
-1,0500636795387555
-1,614536288381177
-2,2720930847511305
-3,016835004753482
-3,8415839262259484
-4,738133676256273
-5,6974914211108905
-6,710105357654001
-7,766075716117944
-8,855347027668385
-9,967880413834056
-11,093805328124791
-12,223550734045064
-13,347956149931985
-14,458363341489203
-15,546689709223203
-16,60548461139393
-17,627969994072043
-18,60806677815431
-19,540408487575636
-20,420343601430485
-21,243928082364313
-22,007909480649367
-22,70970394324833
-23,347367374566478
-23,91956190448209
-24,425518722972615
-24,86499824200473
-25,23824844660419
-25,54596219999262
-25,789234173812833
-25,96951798485527
-26,08858403515555
-26,148478473413256
-26,151483622736148
-26,100080152920683
-25,996911214873364
-25,84474870028173
-25,646461741088643
-25,404987520472194
-25,12330442959519
-24,804407572036745
-24,451286590202955
-24,066905764769945
-23,654186318971785
-23,215990843940922
-22,755109748981607
-22,274249631259895
-21,776023452597265
-21,262942406544223
-20,737409356394075
-20,201713723999923
-19,658027709930913
-19,108403727413837
-18,55477293544539
-17,998944760237794
-17,44260729860781
-16,887328501882262
-16,334558044241255
-15,785629785033093
-15,24176474037134
-14,704074485175875
-14,173564912670626
-13,651140284137124
-13,137607507392106
-12,633680587965397
-12,139985202265738
-11,657063347110954
-11,185378024841953
-10,725317927825238
-10,277202090463488
-9,84128448087535
-9,417758508170325
-9,00676142473564
-8,60837860617275
-8,222647694478214
-7,849562592765744
-7,4890773022826425
-7,141109594695475
-6,805544514618484
-6,482237709145596
-6,171018582736022
-5,871693277206495
-5,58404747781295
-5,307849047473696
-5,04285049210641
-4,788791260835292
-4,545399885483426
-4,312395964309896
-4,089491995392449
-3,876395065403688
-3,6728083997923213
-3,478432780568859
-3,292967838016311
-3,116113222708344
-2,9475696642271614
-2,787039922937879
-2,6342296411015207
-2,4888480995002444
-2,3506088856117433
-2,2192304792089956
-2,0944367610813424
-1,9759574503769428
-1,8635284758582595
-1,7568922861447678
-1,655798103792965
-1,560002127835609
-1,469267689171971
-1,3833653629706248
-1,3020730420175959
-1,2251759747167639
-1,152466771227675
-1,0837453810091722
-1,0188190448264132
-0,9575022240746112
-0,8996165100756403
-0,8449905158140234
-0,7934597523970129
-0,7448664923496816
-0,6990596216903595
-0,6558944825743359
-0,6152327081445617
-0,5769420510870424
-0,5408962072555651
-0,5069746356052443
-0,47506237555686665
-0,4450498628039837
-0,4168327444718818
-0,3903116944416815
-0,365392229563691
-0,3419845274013196
-0,32000324607027414
-0,2993673466669312
-0,27999991871450997
-0,26182800899569075
-0,24478245408524607
-0,22879771684591715
-0,21381172710481247
-0,19976572668577486
-0,18660411893526152
-0,1742743228449401
-0,1627266318433017
-0,15191407730081366
-0,14179229676827512
